entry_type,dex_number,available,notes
shiny,178,True,
shiny,179,True,
shiny,180,True,
shiny,181,True,
shiny,182,True,
shiny,183,True,
shiny,184,True,
shiny,185,True,
shiny,186,True,
shiny,187,True,
shiny,188,True,
shiny,189,True,
shiny,190,True,
shiny,191,True,
shiny,192,True,
shiny,193,True,
shiny,194,True,
shiny,195,True,
shiny,196,True,
shiny,197,True,
shiny,198,True,
shiny,199,True,
shiny,200,True,
shiny,201,True,
shiny,202,True,
shiny,203,True,
shiny,204,True,
shiny,205,True,
shiny,206,True,
shiny,207,True,
shiny,208,True,
shiny,209,True,
shiny,210,True,
shiny,211,True,
shiny,212,True,
shiny,213,True,
shiny,214,True,
shiny,215,True,
shiny,216,True,
shiny,217,True,
shiny,218,True,
shiny,219,True,
shiny,220,True,
shiny,221,True,
shiny,222,True,
shiny,223,True,
shiny,224,True,
shiny,225,True,
shiny,226,True,
shiny,227,True,
shiny,228,True,
shiny,229,True,
shiny,230,True,
shiny,231,True,
shiny,232,True,
shiny,233,True,
shiny,234,True,
shiny,235,True,
shiny,236,True,
shiny,237,True,
shiny,238,True,
shiny,239,True,
shiny,240,True,
shiny,241,True,
shiny,242,True,
shiny,243,True,
shiny,244,True,
shiny,245,True,
shiny,246,True,
shiny,247,True,
shiny,248,True,
shiny,249,True,
shiny,250,True,
shiny,251,True,
shiny,252,True,
shiny,253,True,
shiny,254,True,
shiny,255,True,
shiny,256,True,
shiny,257,True,
shiny,258,True,
shiny,259,True,
shiny,260,True,
shiny,261,True,
shiny,262,True,
shiny,263,True,
shiny,264,True,
shiny,265,True,
shiny,266,True,
shiny,267,True,
shiny,268,True,
shiny,269,True,
shiny,270,True,
shiny,271,True,
shiny,272,True,
shiny,273,True,
shiny,274,True,
shiny,275,True,
shiny,276,True,
shiny,277,True,
shiny,278,True,
shiny,279,True,
shiny,280,True,
shiny,281,True,
shiny,282,True,
shiny,283,True,
shiny,284,True,
shiny,285,True,
shiny,286,True,
shiny,287,True,
shiny,288,True,
shiny,289,True,
shiny,290,True,
shiny,291,True,
shiny,292,True,
shiny,293,True,
shiny,294,True,
shiny,295,True,
shiny,296,True,
shiny,297,True,
shiny,298,True,
shiny,299,True,
shiny,300,True,
shiny,301,True,
shiny,302,True,
shiny,303,True,
shiny,304,True,
shiny,305,True,
shiny,306,True,
shiny,307,True,
shiny,308,True,
shiny,309,True,
shiny,310,True,
shiny,311,True,
shiny,312,True,
shiny,313,True,
shiny,314,True,
shiny,315,True,
shiny,316,True,
shiny,317,True,
shiny,318,True,
shiny,319,True,
shiny,320,True,
shiny,321,True,
shiny,322,True,
shiny,323,True,
shiny,324,True,
shiny,325,True,
shiny,326,True,
shiny,327,True,
shiny,328,True,
shiny,329,True,
shiny,330,True,
shiny,331,True,
shiny,332,True,
shiny,333,True,
shiny,334,True,
shiny,335,True,
shiny,336,True,
shiny,337,True,
shiny,338,True,
shiny,339,True,
shiny,340,True,
shiny,341,True,
shiny,342,True,
shiny,343,True,
shiny,344,True,
shiny,345,True,
shiny,346,True,
shiny,347,True,
shiny,348,True,
shiny,349,True,
shiny,350,True,
shiny,351,True,
shiny,352,True,
shiny,353,True,
shiny,354,True,
shiny,355,True,
shiny,356,True,
shiny,357,True,
shiny,358,True,
shiny,359,True,
shiny,360,True,
shiny,361,True,
shiny,362,True,
shiny,363,True,
shiny,364,True,
shiny,365,True,
shiny,366,True,
shiny,367,True,
shiny,368,True,
shiny,369,True,
shiny,370,True,
shiny,371,True,
shiny,372,True,
shiny,373,True,
shiny,374,True,
shiny,375,True,
shiny,376,True,
shiny,377,True,
shiny,378,True,
shiny,379,True,
shiny,380,True,
shiny,381,True,
shiny,382,True,
shiny,383,True,
shiny,384,True,
shiny,385,True,
shiny,386,True,
shiny,387,True,
shiny,388,True,
shiny,389,True,
shiny,390,True,
shiny,391,True,
shiny,392,True,
shiny,393,True,
shiny,394,True,
shiny,395,True,
shiny,396,True,
shiny,397,True,
shiny,398,True,
shiny,399,True,
shiny,400,True,
shiny,401,True,
shiny,402,True,
shiny,403,True,
shiny,404,True,
shiny,405,True,
shiny,406,True,
shiny,407,True,
shiny,408,True,
shiny,409,True,
shiny,410,True,
shiny,411,True,
shiny,412,True,
shiny,413,True,
shiny,414,True,
shiny,415,True,
shiny,416,True,
shiny,417,True,
shiny,418,True,
shiny,419,True,
shiny,420,True,
shiny,421,True,
shiny,422,True,
shiny,423,True,
shiny,424,True,
shiny,425,True,
shiny,426,True,
shiny,427,True,
shiny,428,True,
shiny,429,True,
shiny,430,True,
shiny,431,True,
shiny,432,True,
shiny,433,True,
shiny,434,True,
shiny,435,True,
shiny,436,True,
shiny,437,True,
shiny,438,True,
shiny,439,True,
shiny,440,True,
shiny,441,True,
shiny,442,True,
shiny,443,True,
shiny,444,True,
shiny,445,True,
shiny,446,True,
shiny,447,True,
shiny,448,True,
shiny,449,True,
shiny,450,True,
shiny,451,True,
shiny,452,True,
shiny,453,True,
shiny,454,True,
shiny,455,True,
shiny,456,True,
shiny,457,True,
shiny,458,True,
shiny,459,True,
shiny,460,True,
shiny,461,True,
shiny,462,True,
shiny,463,True,
shiny,464,True,
shiny,465,True,
shiny,466,True,
shiny,467,True,
shiny,468,True,
shiny,469,True,
shiny,470,True,
shiny,471,True,
shiny,472,True,
shiny,473,True,
shiny,474,True,
shiny,475,True,
shiny,476,True,
shiny,477,True,
shiny,478,True,
shiny,479,True,
shiny,480,True,
shiny,481,True,
shiny,482,True,
shiny,483,True,
shiny,484,True,
shiny,485,True,
shiny,486,True,
shiny,487,True,
shiny,488,True,
shiny,491,True,
shiny,492,True,
shiny,495,True,
shiny,496,True,
shiny,497,True,
shiny,498,True,
shiny,499,True,
shiny,500,True,
shiny,501,True,
shiny,502,True,
shiny,503,True,
shiny,504,True,
shiny,505,True,
shiny,506,True,
shiny,507,True,
shiny,508,True,
shiny,509,True,
shiny,510,True,
shiny,511,True,
shiny,512,True,
shiny,513,True,
shiny,514,True,
shiny,515,True,
shiny,516,True,
shiny,517,True,
shiny,518,True,
shiny,519,True,
shiny,520,True,
shiny,521,True,
shiny,522,True,
shiny,523,True,
shiny,524,True,
shiny,525,True,
shiny,526,True,
shiny,527,True,
shiny,528,True,
shiny,529,True,
shiny,530,True,
shiny,531,True,
shiny,532,True,
shiny,533,True,
shiny,534,True,
shiny,535,True,
shiny,536,True,
shiny,537,True,
shiny,538,True,
shiny,539,True,
shiny,540,True,
shiny,541,True,
shiny,542,True,
shiny,543,True,
shiny,544,True,
shiny,545,True,
shiny,546,True,
shiny,547,True,
shiny,548,True,
shiny,549,True,
shiny,550,True,
shiny,551,True,
shiny,552,True,
shiny,553,True,
shiny,554,True,
shiny,555,True,
shiny,556,True,
shiny,557,True,
shiny,558,True,
shiny,559,True,
shiny,560,True,
shiny,561,True,
shiny,562,True,
shiny,563,True,
shiny,564,True,
shiny,565,True,
shiny,566,True,
shiny,567,True,
shiny,568,True,
shiny,569,True,
shiny,570,True,
shiny,571,True,
shiny,572,True,
shiny,573,True,
shiny,574,True,
shiny,575,True,
shiny,576,True,
shiny,577,True,
shiny,578,True,
shiny,579,True,
shiny,580,True,
shiny,581,True,
shiny,582,True,
shiny,583,True,
shiny,584,True,
shiny,585,True,
shiny,586,True,
shiny,587,True,
shiny,588,True,
shiny,589,True,
shiny,590,True,
shiny,591,True,
shiny,592,True,
shiny,593,True,
shiny,594,True,
shiny,595,True,
shiny,596,True,
shiny,597,True,
shiny,598,True,
shiny,599,True,
shiny,600,True,
shiny,601,True,
shiny,602,True,
shiny,603,True,
shiny,604,True,
shiny,605,True,
shiny,606,True,
shiny,607,True,
shiny,608,True,
shiny,609,True,
shiny,610,True,
shiny,611,True,
shiny,612,True,
shiny,613,True,
shiny,614,True,
shiny,615,True,
shiny,616,True,
shiny,617,True,
shiny,618,True,
shiny,619,True,
shiny,620,True,
shiny,621,True,
shiny,622,True,
shiny,623,True,
shiny,624,True,
shiny,625,True,
shiny,626,True,
shiny,627,True,
shiny,628,True,
shiny,629,True,
shiny,630,True,
shiny,631,True,
shiny,632,True,
shiny,633,True,
shiny,634,True,
shiny,635,True,
shiny,636,True,
shiny,637,True,
shiny,638,True,
shiny,639,True,
shiny,640,True,
shiny,641,True,
shiny,642,True,
shiny,643,True,
shiny,644,True,
shiny,645,True,
shiny,646,True,
shiny,647,True,
shiny,648,True,
shiny,649,True,
shiny,650,True,
shiny,651,True,
shiny,652,True,
shiny,653,True,
shiny,654,True,
shiny,655,True,
shiny,656,True,
shiny,657,True,
shiny,658,True,
shiny,659,True,
shiny,660,True,
shiny,661,True,
shiny,662,True,
shiny,663,True,
shiny,664,True,
shiny,665,True,
shiny,666,True,
shiny,667,True,
shiny,668,True,
shiny,669,True,
shiny,670,True,
shiny,671,True,
shiny,672,True,
shiny,673,True,
shiny,674,True,
shiny,675,True,
shiny,676,True,
shiny,677,True,
shiny,678,True,
shiny,682,True,
shiny,683,True,
shiny,684,True,
shiny,685,True,
shiny,686,True,
shiny,687,True,
shiny,688,True,
shiny,689,True,
shiny,690,True,
shiny,691,True,
shiny,692,True,
shiny,693,True,
shiny,694,True,
shiny,695,True,
shiny,696,True,
shiny,697,True,
shiny,698,True,
shiny,699,True,
shiny,700,True,
shiny,702,True,
shiny,703,True,
shiny,704,True,
shiny,705,True,
shiny,706,True,
shiny,708,True,
shiny,709,True,
shiny,710,True,
shiny,711,True,
shiny,712,True,
shiny,713,True,
shiny,714,True,
shiny,715,True,
shiny,716,True,
shiny,717,True,
shiny,722,True,
shiny,723,True,
shiny,724,True,
shiny,725,True,
shiny,726,True,
shiny,727,True,
shiny,728,True,
shiny,729,True,
shiny,730,True,
shiny,731,True,
shiny,732,True,
shiny,733,True,
shiny,734,True,
shiny,735,True,
shiny,736,True,
shiny,737,True,
shiny,738,True,
shiny,739,True,
shiny,740,True,
shiny,741,True,
shiny,742,True,
shiny,743,True,
shiny,744,True,
shiny,745,True,
shiny,747,True,
shiny,748,True,
shiny,749,True,
shiny,750,True,
shiny,751,True,
shiny,752,True,
shiny,753,True,
shiny,754,True,
shiny,755,True,
shiny,756,True,
shiny,757,True,
shiny,758,True,
shiny,759,True,
shiny,760,True,
shiny,761,True,
shiny,762,True,
shiny,763,True,
shiny,765,True,
shiny,766,True,
shiny,767,True,
shiny,768,True,
shiny,769,True,
shiny,770,True,
shiny,775,True,
shiny,776,True,
shiny,777,True,
shiny,779,True,
shiny,780,True,
shiny,781,True,
shiny,782,True,
shiny,783,True,
shiny,784,True,
shiny,785,True,
shiny,786,True,
shiny,787,True,
shiny,788,True,
shiny,793,True,
shiny,794,True,
shiny,795,True,
shiny,796,True,
shiny,797,True,
shiny,798,True,
shiny,799,True,
shiny,800,True,
shiny,805,True,
shiny,806,True,
shiny,808,True,
shiny,809,True,
shiny,810,True,
shiny,811,True,
shiny,812,True,
shiny,819,True,
shiny,820,True,
shiny,821,True,
shiny,822,True,
shiny,823,True,
shiny,831,True,
shiny,832,True,
shiny,848,True,
shiny,849,True,
shiny,854,True,
shiny,855,True,
shiny,856,True,
shiny,857,True,
shiny,858,True,
shiny,859,True,
shiny,860,True,
shiny,861,True,
shiny,862,True,
shiny,863,True,
shiny,864,True,
shiny,865,True,
shiny,867,True,
shiny,870,True,
shiny,876,True,
shiny,877,True,
shiny,884,True,
shiny,888,True,
shiny,889,True,
shiny,894,True,
shiny,895,True,
shiny,899,True,
shiny,900,True,
shiny,903,True,
shiny,904,True,
shiny,906,True,
shiny,907,True,
shiny,908,True,
shiny,909,True,
shiny,910,True,
shiny,911,True,
shiny,912,True,
shiny,913,True,
shiny,914,True,
shiny,915,True,
shiny,916,True,
shiny,919,True,
shiny,920,True,
shiny,921,True,
shiny,922,True,
shiny,923,True,
shiny,924,True,
shiny,925,True,
shiny,926,True,
shiny,927,True,
shiny,928,True,
shiny,929,True,
shiny,930,True,
shiny,935,True,
shiny,936,True,
shiny,937,True,
shiny,938,True,
shiny,939,True,
shiny,957,True,
shiny,958,True,
shiny,959,True,
shiny,960,True,
shiny,961,True,
shiny,962,True,
shiny,974,True,
shiny,975,True,
shiny,977,True,
shiny,979,True,
shiny,980,True,
shiny,982,True,
shiny,983,True,
shiny,996,True,
shiny,997,True,
shiny,998,True,
shiny,999,True,
shiny,1000,True,
